x y0 y1 y2 y3 y4 y5 y6 y7 y8 y9 y10 y11 y12 y13 y14 y15 y16 y17 y18 y19 y20 y21 y22 y23 y24 y25 y26 y27 y28 y29 y30
4.081632653061224025e-01 3.110096373861251373e-01 -2.018948611337788024e-01 -1.339084003034965165e-01 -3.575928683931592356e-01 -6.646158161245835361e-01 2.188914854644946340e-01 1.203386776599387198e-01 -3.092609857712351126e-02 3.224643730679577908e-02 1.055625947946235432e-01 5.583595827905468711e-01 2.171408391771601776e-01 9.970799090709203671e-01 -4.471903935282718623e-02 6.333907890660174511e-02 5.161781871884696393e-01 4.786571300188700029e-01 7.002371440498549315e-01 4.405129618684047177e-01 -5.168945198743436498e-01 1.245194749898863446e-01 -8.296805426236054659e-01 -6.466632388079386340e-01 -2.903035597526709144e-01 1.437867376615522830e-01 -9.606452103488662131e-02 -1.659541994651164420e-01 -1.455741092187984587e-01 -5.589803367745829199e-01 1.855020543659557652e-01 5.114474972228899574e-01
4.285714285714285476e-01 3.107853765356500264e-01 -2.012424816861841104e-01 -1.341349789877965548e-01 -3.576475916166334534e-01 -6.640332534901215444e-01 2.201049675251919024e-01 1.205381029975892693e-01 -2.953938487086006648e-02 3.374729141652167003e-02 1.038897581887404109e-01 5.603726829925378405e-01 2.170188715436685845e-01 9.980205528923826730e-01 -4.717637268364448938e-02 5.847483367480146854e-02 5.130375292383617669e-01 4.741305321919677129e-01 6.987608957916782160e-01 4.466860019560258133e-01 -5.146971111359985862e-01 1.272616972166831784e-01 -8.358648451078489749e-01 -6.471154818007109899e-01 -2.953094208640199003e-01 1.467865983643048822e-01 -9.405553137799801955e-02 -1.639592273090692554e-01 -1.442839647034686312e-01 -5.625372443122444999e-01 1.855713449183150898e-01 5.138446115264603264e-01
4.489795918367346372e-01 3.105490818615742610e-01 -2.006240155286278526e-01 -1.343494078562355865e-01 -3.576816202371573272e-01 -6.634709815540685840e-01 2.210937230316241120e-01 1.206355931771378176e-01 -2.839550836358505428e-02 3.502714308429180634e-02 1.024744005373521560e-01 5.620783819258602376e-01 2.168872630876739760e-01 9.987276913176934556e-01 -4.942432296591002527e-02 5.394308682496948976e-02 5.102083506163674897e-01 4.700739233704499531e-01 6.974176104865025261e-01 4.522380305096253550e-01 -5.127241736018997020e-01 1.296659523613734044e-01 -8.412546920359711411e-01 -6.474744512050516487e-01 -2.996613425408951592e-01 1.494279755078416205e-01 -9.217058514753487253e-02 -1.621901096170802192e-01 -1.431152204490273860e-01 -5.657187623259635201e-01 1.856292160085640519e-01 5.159544183972476494e-01
4.693877551020407823e-01 3.102851479339334140e-01 -2.001130290537897483e-01 -1.345430663766136181e-01 -3.577040026992726607e-01 -6.629645809068119844e-01 2.216285531533373210e-01 1.204583298170957273e-01 -2.774362304826303097e-02 3.583043644771653768e-02 1.015847405976683382e-01 5.633980793048209978e-01 2.167822754064267776e-01 9.991731714105134277e-01 -5.130767778105319032e-02 4.994513991203761161e-02 5.078632489581361709e-01 4.666932957892503397e-01 6.962695358989520189e-01 4.568622512686237314e-01 -5.111013782934040739e-01 1.315674426850551582e-01 -8.455279589085151759e-01 -6.476901908100994865e-01 -3.031280588263385867e-01 1.515154499850028813e-01 -9.041087133344233306e-02 -1.607787411220059082e-01 -1.421194661189676134e-01 -5.684256279977922821e-01 1.856689036110320268e-01 5.176929468391654465e-01
4.897959183673469274e-01 3.100170393607974972e-01 -1.996804215001396487e-01 -1.347233599425139705e-01 -3.577273864002503134e-01 -6.625066430310571075e-01 2.218949338306801244e-01 1.201386369696487988e-01 -2.737730979653926755e-02 3.635845998030246690e-02 1.009998554381321689e-01 5.644785132968456187e-01 2.167010711967748970e-01 9.994600881660733460e-01 -5.295704351348382022e-02 4.631234823028802794e-02 5.058637016982856505e-01 4.637851190924796030e-01 6.952808307160119883e-01 4.609230472018452374e-01 -5.097324189403998895e-01 1.331491307037370175e-01 -8.490878304418316702e-01 -6.478163263504507219e-01 -3.060357043017729595e-01 1.532576320604789877e-01 -8.873133145204498140e-02 -1.596079467144350950e-01 -1.412428653899329423e-01 -5.708399210372211430e-01 1.857144046912760083e-01 5.191935579773314657e-01
5.102040816326530726e-01 3.097532522811107802e-01 -1.992265084268319830e-01 -1.348953383681857077e-01 -3.577489254630675797e-01 -6.620514804371697704e-01 2.222805149384205758e-01 1.199563868855752780e-01 -2.688401964746561096e-02 3.701572081817864485e-02 1.002811815513373755e-01 5.654574315022871112e-01 2.165891579599210637e-01 9.996509524259693524e-01 -5.461182225311305566e-02 4.266316826092284714e-02 5.039686663985478710e-01 4.609802706479930734e-01 6.943661452653284716e-01 4.650356009174873018e-01 -5.084464226210955173e-01 1.346825877821166695e-01 -8.525012723267459958e-01 -6.479017311961144943e-01 -3.088228207115744084e-01 1.549774258669097404e-01 -8.704732673858288361e-02 -1.584855928550413517e-01 -1.403691581365387742e-01 -5.731870858515459854e-01 1.858095509988547944e-01 5.206166614927030256e-01
5.306122448979591066e-01 3.095432219003272922e-01 -1.987918207016073913e-01 -1.350800775639787454e-01 -3.578163444175189722e-01 -6.616563468811130777e-01 2.228389026501993719e-01 1.199923845595082389e-01 -2.619996536326173533e-02 3.784677148185321832e-02 9.937409423502642503e-02 5.664055375641815493e-01 2.164887309839885476e-01 9.998442375505203206e-01 -5.619809313800879641e-02 3.922052650041524258e-02 5.023196559778793091e-01 4.584379080105877025e-01 6.936513379577322613e-01 4.691395046241738087e-01 -5.073592193728014843e-01 1.361611419007685286e-01 -8.557798726621508312e-01 -6.479838446353787251e-01 -3.115070713902633459e-01 1.566783817405976442e-01 -8.543159606194968003e-02 -1.574618580418711278e-01 -1.395574612925263580e-01 -5.754498332696108553e-01 1.859568910104535955e-01 5.219542011958293592e-01
5.510204081632652517e-01 3.094390410022756499e-01 -1.983970106682528822e-01 -1.353012510827785453e-01 -3.579842348714119549e-01 -6.613567752251473530e-01 2.236764303164594514e-01 1.203535692944151525e-01 -2.521102018187289240e-02 3.896448033625023871e-02 9.815756116125723407e-02 5.674513406065507803e-01 2.164318754750862439e-01 1.000169017295416740e+00 -5.771452167343787965e-02 3.607201227899721474e-02 5.009844582788626211e-01 4.562029354549824167e-01 6.932340481385418363e-01 4.733609725889835751e-01 -5.065290599765718271e-01 1.376557579158496913e-01 -8.591037234457361560e-01 -6.481130542059591049e-01 -3.142477015197171486e-01 1.584652710224825067e-01 -8.390426060491029681e-02 -1.565382433825471264e-01 -1.388272826089310963e-01 -5.777186258974105204e-01 1.861689619984148447e-01 5.232611354122064240e-01
5.714285714285713969e-01 3.094931006444569532e-01 -1.980007160249862563e-01 -1.355788172876919440e-01 -3.582900014544475042e-01 -6.611538098204777780e-01 2.251014302523832444e-01 1.212838620466497458e-01 -2.358564392172007515e-02 4.069237876814538885e-02 9.628900755407820977e-02 5.687843668460709212e-01 2.164147322634424331e-01 1.000768315757004201e+00 -5.929791144361924032e-02 3.307108614744298097e-02 4.998569526669118246e-01 4.540880392245730812e-01 6.931329799629741828e-01 4.781409682370962311e-01 -5.058901087054996637e-01 1.393905767815018792e-01 -8.629659012597784562e-01 -6.483689237916038239e-01 -3.174362200315411497e-01 1.606144830205123997e-01 -8.243282411279695410e-02 -1.555914146246002716e-01 -1.381263190654138107e-01 -5.802007552191902340e-01 1.864793778515421441e-01 5.246805042041338130e-01
5.918367346938775420e-01 3.097033586896152935e-01 -1.976694738978185539e-01 -1.359100294844881041e-01 -3.587466133415770364e-01 -6.610777654822309612e-01 2.268920963774430644e-01 1.226024419303091140e-01 -2.155665005006531659e-02 4.280294255308101509e-02 9.402116929318708738e-02 5.703911965813541762e-01 2.164772431399500374e-01 1.001664987251236649e+00 -6.083500856909949267e-02 3.039970639426380072e-02 4.990426080926560481e-01 4.522428643256871661e-01 6.933905400623175952e-01 4.832239510596465504e-01 -5.055237693846410529e-01 1.412593415738070957e-01 -8.671698939582654919e-01 -6.487434022183128368e-01 -3.209281671960074189e-01 1.629932776542814543e-01 -8.103892491383204999e-02 -1.547048988665167824e-01 -1.375076188866980187e-01 -5.828582970450691958e-01 1.868716348213002587e-01 5.261777958051525594e-01
6.122448979591835760e-01 3.101292597625205927e-01 -1.974344301031897286e-01 -1.363318260996047582e-01 -3.594283580161387048e-01 -6.611869646383972121e-01 2.291891075585026361e-01 1.244459723692837583e-01 -1.897229045194909897e-02 4.544327009341814216e-02 9.119791146217685884e-02 5.724281648629314656e-01 2.166646528279301820e-01 1.003017816079633251e+00 -6.229753142494185575e-02 2.821401540782234388e-02 4.986362287484922828e-01 4.507474084099944434e-01 6.941209141042454789e-01 4.886854288144502068e-01 -5.055137490040793047e-01 1.433632269614777965e-01 -8.719385433283652898e-01 -6.493150084248272558e-01 -3.249256925007234509e-01 1.657298355541607926e-01 -7.974774523757637013e-02 -1.538981621919733311e-01 -1.370262128758099052e-01 -5.857496936113663066e-01 1.873416114665324150e-01 5.278349456803310691e-01
