x y0 y1 y2 y3 y4 y5 y6 y7 y8 y9 y10 y11 y12 y13 y14 y15 y16 y17 y18 y19 y20 y21 y22 y23 y24 y25 y26 y27 y28 y29 y30 y31 y32 y33
2.000000000000000000e+01 8.840425721938773407e+00 -3.876106895403487185e-01 -1.162875641589945358e-01 -5.676193991710494213e-01 -2.769999718095240704e-01 -1.996698085586423865e-01 -1.010939633513069369e-01 -4.076669348953774197e-01 -1.647543090899342144e-01 1.357257415182949178e-01 8.905577557486125784e+00 8.973005248589143168e-01 -1.063973700009978929e+00 -1.690734472330025773e-01 1.537164585190246457e+00 -2.919222413569215746e-01 -2.031320505949090471e-01 1.817160807861079697e+00 -6.865278825148288799e-01 -1.699530346295584082e-01 -5.294858009749051769e-02 -5.276607322390446386e-01 -3.143622593207757721e-01 -1.416560850902474633e-01 6.116376757343227472e-02 -5.546236445344939758e-01 -2.586768889312499597e-01 -1.043523675864278522e-01 -5.491234069768528014e-01 1.040778004257682632e+00 1.572642904191861798e-02 -6.893006731895595651e-02 1.751360482718819389e+00 -1.627180722831934878e-01
2.100000000000000000e+01 -1.477029742582576466e+00 -7.520842056879220028e-01 -5.573084729636363921e-01 7.701463822993089847e-01 -4.303079938945310601e-01 -4.026657621143854282e-01 -7.505969217795053217e-01 6.316336199652562433e-01 -1.356039091355190906e-01 3.723190126676852452e-01 -1.540774806003618380e+00 -6.329097613357411722e-01 7.466183866659534818e-01 -5.594341260311916919e-01 6.940320148888917684e-01 5.297729394700960714e-01 -3.948662982346707456e-02 -6.235267313970775938e-01 9.651531465802699605e-01 -4.178666987996703108e-01 -6.838426794294105715e-01 9.036587392808871355e-01 -6.368785269722566644e-01 -4.175840367409335840e-01 -6.798192595574421571e-01 5.959576166656244123e-01 9.771167942147762631e-01 -8.086741274708030003e-02 5.915337213035245512e-01 -4.354737238804659016e-01 -5.898229436670872072e-01 -3.917496683863669893e-01 -2.423382306971541278e-01 1.944205967391610668e-01
2.200000000000000000e+01 5.574534265424743396e+00 -2.380020835162339476e-01 -4.235430079033137840e-01 -7.061788537919203579e-01 -7.202698362038726376e-01 -5.590283621226889155e-01 -7.008828142838673392e-01 -5.217028790026576601e-01 -3.985474685038354892e-01 5.920576214397671455e-01 5.499426294346291932e+00 1.185093429948515187e+00 -1.076703415539000064e+00 -5.452049303096682120e-01 1.083652066957125459e+00 -6.643322196222128939e-01 3.941961201447789498e-01 2.022356706954400174e+00 -6.238664090355759972e-01 -4.785285131743544640e-01 -4.746141463223674251e-01 -6.618724734154032285e-01 -7.710333797708402992e-01 -4.971511999934771775e-01 -5.859989004086904041e-01 -5.324520724644915548e-01 2.041497457817419980e-01 -6.497380997761035282e-01 -4.649877841997159256e-01 1.584661855257750940e+00 -6.738444156842721133e-01 -6.108946992100291462e-01 1.884235199658059301e+00 -4.120852767501605451e-01
2.300000000000000000e+01 5.572517692440400516e+00 -7.324047076124557965e-01 -8.117913177590618812e-01 4.510738555677331618e-01 -2.309339158845080953e-01 -4.545133853776940902e-01 -7.671194762008158863e-01 4.138554737849658993e-01 -2.989313630375338149e-01 1.443216490567930388e-01 5.621469656735594178e+00 1.045971786348704580e+00 2.988762199964800081e-01 -7.998940260446896211e-01 1.174889365629325999e+00 1.224462962436724707e-02 -7.652545923907264069e-02 1.550512185113520180e+00 4.068667750501436808e-02 -3.850564077535574836e-01 -7.312461844873270334e-01 1.654947322790629727e-01 -6.508712675551856508e-01 -4.321568450096357483e-01 -4.855875425102753051e-01 7.622806556796996036e-02 4.507530373115796185e-01 -3.737467249328311758e-01 -9.384846301104189659e-02 7.850913160720279782e-01 -6.938359237633364707e-01 -6.631115224712369471e-01 1.636547681862102976e+00 -6.089272854765995918e-02
2.400000000000000000e+01 1.044119859719796928e+01 7.860047562608452054e-02 -2.476685477826019721e-01 -8.365575597124005336e-01 -1.566215082326119223e-01 -3.615272983791365524e-01 -1.750619558090352190e-01 -7.982117687120974248e-01 -1.121384787931127697e-01 3.222527482248435660e-01 9.904425300682783373e+00 1.242310679679803576e+00 -8.183232472939112601e-01 -1.889550625903373970e-01 1.600691544855476156e+00 -4.308359613474395111e-01 5.157615856346986494e-01 2.346677355208335314e+00 -1.000391792680401792e+00 -1.859249665659380713e-02 1.146259046825654770e-01 -4.053339930153862514e-01 -2.927633905844428952e-01 -3.695945371232055021e-01 -3.900350909846921899e-01 -4.427301794727532269e-01 -4.085061432566912121e-01 -3.159881177527892882e-01 -5.993283737942005640e-01 1.379032591610342307e+00 -3.340502451672827111e-01 -2.005381990758685617e-01 2.600870623756360800e+00 -4.762675080046971932e-01
2.500000000000000000e+01 -1.281711859018617616e+00 -3.146589102793065917e-01 -1.545277850732182101e-01 -4.678726193653394150e-01 -4.191086646660183157e-01 -4.914084818564933843e-01 -3.383045990205458264e-01 -5.150498158959454509e-01 -5.468948886708325796e-01 -3.302123680970638908e-01 -2.058408152396896451e+00 1.252568644442761947e-01 -2.372106065312774847e-01 -4.687229910303734592e-01 -4.312757589007245040e-01 -4.254795022522066539e-01 9.908374698700886385e-02 -6.124198576464567889e-01 -7.178326400224505077e-01 -6.670920391379304704e-01 -2.458011936786791418e-01 -3.383464691141631620e-01 -3.779317845216035865e-01 -2.275480037193495786e-01 -1.839273734702725482e-01 -4.273421204740747714e-01 -5.625600690857349706e-01 -3.935552146793848127e-01 -3.884042957845736388e-01 -4.862001521054874938e-03 -4.846600866473942393e-01 -3.457246521338933065e-01 -6.041638499792336692e-01 -3.831064628757526180e-01
2.600000000000000000e+01 -3.760566864097453443e+00 6.428112695664828236e-02 1.820857798233766478e-01 5.114338330214847350e-02 1.109339740590507550e-01 1.546372283555031424e-01 7.230912871165553479e-01 2.822646639092419862e-01 1.502758675108539499e-01 3.308970495923901911e-01 -3.757029608081609240e+00 4.825536694341344690e-01 -4.559995650833512104e-02 6.398281398794124497e-01 4.233419903766823533e-01 1.544018644400347445e-02 -8.475745441249689371e-02 -1.054391222035794273e+00 -3.561157809259732354e-01 1.084778188601467908e-01 9.630576586678236684e-01 1.396265482224864074e-01 4.360140842015858831e-01 2.165959661982367057e-01 5.062172081253549782e-01 -6.966538415356423597e-01 -6.636599169765159401e-01 4.869517562363879781e-01 2.818279016048621990e-03 1.324499387196598765e-01 -4.055554588255776416e-01 4.829160257240076581e-01 -1.046393913369432660e+00 -9.835426105609501590e-02
2.700000000000000000e+01 -3.070944314623060389e+00 -1.926687636409261661e-01 -2.587326049199836775e-01 2.788955606457548808e-01 -5.871409402830867208e-01 -7.602785689812480499e-03 6.140564298753153211e-02 2.096534286152546833e-01 -2.064591702271471596e-01 -3.457609281390749967e-01 -3.068736218135565963e+00 -5.310494302721981974e-01 6.099417062837708681e-01 1.880063233630767661e-01 -7.419111497094571517e-01 -4.363843568486177049e-01 -1.366407315055137461e+00 -9.922061257942332846e-01 -9.881741778389557807e-02 -5.213902475495342248e-01 -2.178900576559239521e-01 -3.679869166429364236e-02 -8.007305150111881931e-02 -2.101763812831419220e-01 -2.867112288784543495e-01 -7.532508689225829723e-01 -4.642070242387585366e-01 -3.346297340334885573e-01 -3.293735407649383551e-01 -1.922675703100758804e-01 -1.023016305463581466e+00 -1.043805700071832043e-01 -8.439862179456806279e-01 -6.899911223226778967e-01
2.800000000000000000e+01 1.826445052505202282e-01 -1.117913924528872727e-01 -1.313432147541897417e-02 -1.317836914502837908e-01 1.142963962495322366e-01 -1.808266187394693969e-01 8.637213064486093383e-02 -3.241869217669910395e-04 -3.633429000349372440e-02 5.264223725206177429e-01 5.789763573203601243e-01 1.742391606901773971e+00 -4.635068763520956703e-02 -1.034161249021634810e-01 3.010689796256658113e+00 -9.273841097356562424e-02 4.074017059402515351e+00 -2.032834405018787982e-01 -8.040494705361807271e-02 5.692145078544259135e-02 9.801894079917838898e-02 -3.696687399844894584e-02 9.226567339258684441e-02 -1.345082085913281156e-01 -1.121097453233215746e-01 1.440914830286963988e-01 -2.040828663640839591e-01 -1.207649751193165810e-01 7.901733385943597587e-02 1.776870082148282792e+00 -1.377534594891916209e+00 -3.873209778079171259e-03 5.256062000893098329e-02 2.732925825719924040e-01
2.900000000000000000e+01 6.505849779894682383e-01 2.047708561437563135e-01 4.353383335073866128e-02 3.060189625582370176e-01 6.490622137193760577e-02 1.426660951208859884e-01 4.462524644029369075e-02 3.971518505958895884e-01 2.211014772132440798e-01 -1.238320700168752952e-01 9.496242270118853135e-01 9.463834371730768247e-01 -1.843354620535376520e-01 2.910390208675599916e-02 -1.477168383302908561e+00 -1.832562933094838142e-01 3.075584712119244224e-01 2.823347970657668626e-01 1.696676941397646798e-01 1.961700752684894244e-01 -1.424399362387101207e-02 1.725811790889120179e-01 -5.470746072464111043e-02 5.402553297195329396e-01 8.125142326563984663e-02 -2.326067668912377429e-01 2.360737669375472803e-01 1.703328968587990710e-01 1.677100842626761401e-01 1.045809927401217365e+00 1.030791534683437316e+00 -1.610825723809063484e-02 3.675927609065813839e-01 1.664643318710621878e-01
3.000000000000000000e+01 4.875758843543656518e+00 3.843419815456119992e-01 7.437436483588989733e-02 -1.038595059152719768e+00 3.081894925164137544e-01 2.359751610610722472e-01 3.879867910348941407e-01 -1.281817086740363543e+00 2.805925353917644860e-01 4.166782815812689611e-01 5.053764492512827111e+00 3.556487634670865705e-02 -1.055502891631794338e+00 4.558240242664933772e-01 1.105814681509855735e+00 -6.614838303056660429e-01 7.367538711813922392e-01 1.486126407216117329e+00 -8.904489009812567302e-01 6.555365991227636302e-01 6.343665055332278202e-01 -6.724279394156104095e-01 3.136612934688879917e-01 3.829377402622090032e-01 4.516599628451274939e-01 5.732418810941841691e-01 4.642424585485772082e-01 5.811052237930697945e-02 -1.012908055323739509e+00 5.401726938305246861e-01 3.060411559094395884e-01 3.418431169474226428e-01 1.598491162976121149e+00 3.879898693310400715e-01
