x y_gt y_pr
1.097660999999999998e+00 1.546999999999999886e+01 3.112468316745714958e+01
1.098958000000000101e+00 1.581499999999999950e+01 3.237901932914104464e+01
1.100020999999999916e+00 1.625499999999999901e+01 3.413278125776975003e+01
1.102842000000000100e+00 1.675499999999999901e+01 3.596093718818314500e+01
1.104153000000000162e+00 1.725600000000000023e+01 3.744301186532749881e+01
1.105269999999999975e+00 1.787699999999999889e+01 3.922532111970290458e+01
1.107374999999999998e+00 1.862600000000000122e+01 4.155748962535231783e+01
1.107363000000000097e+00 1.930900000000000105e+01 4.208397111832152149e+01
1.108859000000000039e+00 2.000100000000000122e+01 4.326107149665546103e+01
1.110794000000000059e+00 2.077899999999999991e+01 4.552419758860730070e+01
1.111509000000000080e+00 2.155799999999999983e+01 4.741354569480261461e+01
1.113172000000000050e+00 2.255100000000000193e+01 4.961977616350709752e+01
1.115782999999999969e+00 2.364000000000000057e+01 5.280809906589755087e+01
1.116835000000000022e+00 2.466399999999999793e+01 5.521086877167384444e+01
1.118368000000000029e+00 2.562800000000000011e+01 5.807857699588559086e+01
1.119804000000000022e+00 2.660200000000000031e+01 6.195162135176953200e+01
1.120693000000000161e+00 2.775800000000000267e+01 6.436646866653792642e+01
1.122624000000000066e+00 2.891700000000000159e+01 6.988777934062854058e+01
1.123895000000000088e+00 3.011299999999999955e+01 7.481046926462320812e+01
1.125758000000000036e+00 3.136999999999989797e+01 7.993551850152840643e+01
1.127502000000000004e+00 3.271599999999989450e+01 8.687067647979981189e+01
1.129677000000000042e+00 3.410000000000000142e+01 9.212821890635963484e+01
1.131308999999999898e+00 3.557999999999999829e+01 9.906970213573336537e+01
1.132932000000000050e+00 3.714900000000000091e+01 1.059670926545559553e+02
1.134595000000000020e+00 3.878999999999999915e+01 1.169502510770082324e+02
1.135691000000000006e+00 4.052100000000000080e+01 1.288891045032217448e+02
1.137321000000000026e+00 4.219399999999989603e+01 1.398251221815430654e+02
1.138741000000000003e+00 4.292699999999999960e+01 1.540703866338455441e+02
1.139280000000000070e+00 4.370099999999999341e+01 1.737869419650437806e+02
1.140684000000000031e+00 4.460099999999989961e+01 1.926237799087918461e+02
1.143103999999999898e+00 4.561599999999999966e+01 2.565802359488167212e+02
1.144497000000000098e+00 4.659700000000000131e+01 3.422678443074701704e+02
1.146129000000000175e+00 4.753399999999999892e+01 4.695742685538045293e+02
1.148168999999999995e+00 4.847299999999989950e+01 6.274357515312567557e+02
